"蓝牙耳机支架",39.99,400,"收纳方便，桌面整洁"
"USB集线器",89.50,200,"多接口扩展，兼容性强"
"移动硬盘盒",129.99,150,"支持SATA硬盘，便于携带"
"SSD固态硬盘500G",599.00,80,"高速读写，稳定可靠"
"机械键盘套装",699.50,50,"键盘+键帽+腕托全套"
"笔记本支架",149.99,180,"散热防滑，提升角度"
"无线鼠标垫套装",79.50,220,"鼠标垫+腕托组合"
"智能插座",129.99,250,"远程控制，定时开关"
"网络摄像头",349.00,90,"1080P高清视频，夜视"
"无线麦克风",499.50,70,"音质清晰，稳定传输"
"耳机线控器",59.99,300,"音量调节，方便控制"
"键盘清洁套装",29.50,400,"除尘清洁，维护键盘"
"手机支架",49.99,500,"桌面支撑，角度可调"
"平板支架",79.50,200,"稳固支撑，适合阅读或绘画"
"电脑主机防尘罩",129.99,150,"防尘防潮，保护主机"
"投影幕布",399.50,30,"高清材质，便于安装"
"耳机收纳盒",89.99,200,"收纳整理，保护耳机"
"键盘清洁刷",29.99,300,"细毛刷，清洁键盘缝隙"
"音箱支架",149.50,100,"稳固支撑，提高音效"
"打印机纸张",99.99,400,"高品质打印纸，不卡纸"
"数码相机",4999.00,20,"高像素，清晰拍照"
"镜头滤镜",299.50,80,"保护镜头，提升画质"
"摄影灯",599.99,60,"补光柔和，适合拍摄"
"单反相机包",499.50,40,"防震防水，收纳方便"
"脚架云台",199.99,90,"角度可调，拍摄稳定"
"无人机",6999.00,15,"高清航拍，智能飞行"
"摄像机肩带",99.50,200,"舒适背负，减轻负重"
"摄影反光板",149.99,150,"增强光线，补光使用"
"显微镜",1299.50,20,"高倍观察，清晰成像"
"电子称",199.99,100,"精准称量，轻便易用"
"智能手环",499.00,180,"健康监测，运动记录"
"台灯",129.50,250,"护眼灯，亮度可调"
"空气净化器",1999.99,60,"过滤PM2.5，改善空气质量"
"加湿器",399.50,150,"静音加湿，适合卧室"
"电风扇",299.99,200,"静音风扇，多档风速"
"吸尘器",799.50,80,"强力吸尘，便捷清洁"
"电热水壶",149.99,180,"快速加热，安全可靠"
"电磁炉",299.50,100,"多档火力，节能环保"
"榨汁机",399.99,90,"高速榨汁，保留营养"
"空气炸锅",499.50,70,"少油健康烹饪，操作简单"
"微波炉",899.99,50,"加热快，多功能使用"
"洗碗机",2999.50,20,"高效清洁，省时省力"
"冰箱",3999.99,30,"大容量冷藏冷冻，节能环保"
"洗衣机",2999.50,25,"高效洗涤，智能控制"
"烤箱",799.99,60,"多功能烘焙，温控精准"
"咖啡机",1299.50,40,"高压萃取，香浓咖啡"
"电热毯",399.99,80,"安全加热，舒适温暖"
"电水壶套装",499.50,100,"快速加热，容量适中"
"剃须刀",299.99,150,"精密刀头，剃须干净"
"吹风机",199.50,200,"风力强劲，多档调节"
"电动牙刷",399.99,180,"高频震动，清洁牙齿"
"体重秤",199.50,150,"精准称重，轻松记录"
"跑步机",5999.99,10,"家用健身，运动健康"
"健身车",2999.50,15,"室内运动，调节阻力"
"哑铃套装",999.99,60,"可调重量，适合家庭锻炼"
"瑜伽垫",199.50,200,"防滑材质，舒适耐用"
"跳绳",49.99,300,"耐用材质，轻便易携"
"水壶",99.50,250,"运动水壶，密封防漏"
"运动手套",59.99,200,"防滑耐磨，保护手部"
"护腕",39.50,300,"运动支撑，缓解压力"
"运动毛巾",29.99,500,"吸汗柔软，便于携带"
"户外帐篷",1299.50,30,"防雨防风，轻便易搭"
"户外睡袋",599.99,50,"保暖舒适，便于携带"
"登山杖",299.50,100,"轻便耐用，防滑设计"
"户外背包",899.99,60,"大容量，多功能收纳"
"防晒帽",199.50,180,"遮阳防紫外线，舒适透气"
"户外手套",99.99,200,"耐磨防滑，户外必备"
